city,year,weekofyear,total_cases
sj,2011,9,8
sj,2011,10,5
sj,2011,11,5
sj,2011,12,5
sj,2011,13,5
sj,2011,14,7
sj,2011,15,6
sj,2011,16,4
sj,2011,17,5
sj,2011,18,7
sj,2011,19,5
sj,2011,20,5
sj,2011,21,8
sj,2011,22,16
sj,2011,23,16
sj,2011,24,20
sj,2011,25,42
sj,2011,26,41
sj,2011,27,21
sj,2011,28,23
sj,2011,29,25
sj,2011,30,33
sj,2011,31,25
sj,2011,32,48
sj,2011,33,56
sj,2011,34,51
sj,2011,35,59
sj,2011,36,58
sj,2011,37,62
sj,2011,38,26
sj,2011,39,38
sj,2011,40,66
sj,2011,41,59
sj,2011,42,30
sj,2011,43,22
sj,2011,44,35
sj,2011,45,28
sj,2011,46,26
sj,2011,47,25
sj,2011,48,24
sj,2011,49,20
sj,2011,50,30
sj,2011,51,17
sj,2012,52,19
sj,2012,1,16
sj,2012,2,13
sj,2012,3,14
sj,2012,4,11
sj,2012,5,11
sj,2012,6,11
sj,2012,7,11
sj,2012,8,13
sj,2012,9,8
sj,2012,10,5
sj,2012,11,5
sj,2012,12,5
sj,2012,13,7
sj,2012,14,4
sj,2012,15,6
sj,2012,16,4
sj,2012,17,5
sj,2012,18,8
sj,2012,19,5
sj,2012,20,12
sj,2012,21,9
sj,2012,22,9
sj,2012,23,13
sj,2012,24,23
sj,2012,25,40
sj,2012,26,34
sj,2012,27,28
sj,2012,28,21
sj,2012,29,26
sj,2012,30,26
sj,2012,31,42
sj,2012,32,28
sj,2012,33,64
sj,2012,34,57
sj,2012,35,23
sj,2012,36,50
sj,2012,37,62
sj,2012,38,61
sj,2012,39,67
sj,2012,40,62
sj,2012,41,49
sj,2012,42,53
sj,2012,43,56
sj,2012,44,71
sj,2012,45,52
sj,2012,46,32
sj,2012,47,38
sj,2012,48,22
sj,2012,49,23
sj,2012,50,20
sj,2012,51,18
sj,2013,1,12
sj,2013,2,14
sj,2013,3,11
sj,2013,4,11
sj,2013,5,12
sj,2013,6,11
sj,2013,7,10
sj,2013,8,11
sj,2013,9,9
sj,2013,10,8
sj,2013,11,6
sj,2013,12,4
sj,2013,13,8
sj,2013,14,4
sj,2013,15,8
sj,2013,16,7
sj,2013,17,4
iq,2010,26,4
iq,2010,27,3
iq,2010,28,5
iq,2010,29,4
iq,2010,30,4
iq,2010,31,5
iq,2010,32,4
iq,2010,33,4
iq,2010,34,6
iq,2010,35,11
iq,2010,36,5
iq,2010,37,7
iq,2010,38,10
iq,2010,39,14
iq,2010,40,57
iq,2010,41,9
iq,2010,42,13
iq,2010,43,10
iq,2010,44,11
iq,2010,45,17
iq,2010,46,12
iq,2010,47,10
iq,2010,48,16
iq,2010,49,6
iq,2010,50,11
iq,2010,51,12
iq,2011,52,17
iq,2011,1,23
iq,2011,2,15
iq,2011,3,14
iq,2011,4,17
iq,2011,5,16
iq,2011,6,15
iq,2011,7,16
iq,2011,8,16
iq,2011,9,14
iq,2011,10,8
iq,2011,11,8
iq,2011,12,9
iq,2011,13,7
iq,2011,14,7
iq,2011,15,5
iq,2011,16,4
iq,2011,17,6
iq,2011,18,7
iq,2011,19,3
iq,2011,20,3
iq,2011,21,5
iq,2011,22,3
iq,2011,23,3
iq,2011,24,4
iq,2011,25,2
iq,2011,26,3
iq,2011,27,3
iq,2011,28,2
iq,2011,29,4
iq,2011,30,3
iq,2011,31,4
iq,2011,32,4
iq,2011,33,3
iq,2011,34,4
iq,2011,35,4
iq,2011,36,3
iq,2011,37,4
iq,2011,38,6
iq,2011,39,7
iq,2011,40,6
iq,2011,41,7
iq,2011,42,11
iq,2011,43,18
iq,2011,44,12
iq,2011,45,18
iq,2011,46,17
iq,2011,47,8
iq,2011,48,9
iq,2011,49,8
iq,2011,50,20
iq,2011,51,24
iq,2012,52,10
iq,2012,1,18
iq,2012,2,18
iq,2012,3,20
iq,2012,4,15
iq,2012,5,14
iq,2012,6,15
iq,2012,7,19
iq,2012,8,16
iq,2012,9,14
iq,2012,10,9
iq,2012,11,5
iq,2012,12,5
iq,2012,13,8
iq,2012,14,4
iq,2012,15,7
iq,2012,16,6
iq,2012,17,6
iq,2012,18,6
iq,2012,19,3
iq,2012,20,7
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,4
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,4
iq,2012,31,2
iq,2012,32,4
iq,2012,33,4
iq,2012,34,5
iq,2012,35,4
iq,2012,36,4
iq,2012,37,6
iq,2012,38,10
iq,2012,39,9
iq,2012,40,10
iq,2012,41,11
iq,2012,42,10
iq,2012,43,11
iq,2012,44,10
iq,2012,45,14
iq,2012,46,17
iq,2012,47,24
iq,2012,48,15
iq,2012,49,12
iq,2012,50,8
iq,2012,51,6
iq,2013,1,15
iq,2013,2,16
iq,2013,3,16
iq,2013,4,17
iq,2013,5,21
iq,2013,6,18
iq,2013,7,15
iq,2013,8,18
iq,2013,9,17
iq,2013,10,9
iq,2013,11,9
iq,2013,12,9
iq,2013,13,9
iq,2013,14,8
iq,2013,15,5
iq,2013,16,7
iq,2013,17,5
iq,2013,18,6
iq,2013,19,6
iq,2013,20,5
iq,2013,21,3
iq,2013,22,4
iq,2013,23,4
iq,2013,24,2
iq,2013,25,3
iq,2013,26,3
